名字,类型,教程,百度,夸克,迅雷,移动,蓝奏云【??里输??里的提取码，可以直接下单本txt】,uc,联系方式,日期,查询编号！,备注
顾我追剧,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/9cc619fb06a0,,,,,WX:hecbof     qq群:344182238,2026/4/9,13450,??软件
火车太顺,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/ae9033c2d7f7,,,,,WX:hecbof     qq群:344182238,2026/4/9,13451,??软件
极光影院,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/004101f2ff7e,,,,,WX:hecbof     qq群:344182238,2026/4/9,13452,??软件
金牌影院,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/8a142ca6a3dc,,,,,WX:hecbof     qq群:344182238,2026/4/9,13453,??软件
囧次元,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/57585b2a3ca1,,,,,WX:hecbof     qq群:344182238,2026/4/9,13454,??软件
橘汁,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/48574bd1dde0,,,,,WX:hecbof     qq群:344182238,2026/4/9,13455,??软件
橘子视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/c7c225a7bf5e,,,,,WX:hecbof     qq群:344182238,2026/4/9,13456,??软件
Girigiri（爱动漫）,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/590777fe9001,,,,,WX:hecbof     qq群:344182238,2026/4/9,13457,??软件
heibai弹幕,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/cdae985dae9e,,,,,WX:hecbof     qq群:344182238,2026/4/9,13458,??软件
KW,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/79e67f680439,,,,,WX:hecbof     qq群:344182238,2026/4/9,13459,??软件
卡音,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13460,??软件
快映视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13461,??软件
蓝鹰,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13462,??软件
聆听音乐,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13463,??软件
麻花视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13464,??软件
魔方4K,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13465,??软件
哪吒视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13466,??软件
牛牛视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13467,??软件
全民电视直播,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13468,??软件
若惜追剧,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13469,??软件
鲨鱼剧场,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/b7cb06c29f5f,,,,,WX:hecbof     qq群:344182238,2026/4/9,13470,??软件
闪映剧场,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/f3e771edbe7e,,,,,WX:hecbof     qq群:344182238,2026/4/9,13471,??软件
速搜视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/75130172e8b6,,,,,WX:hecbof     qq群:344182238,2026/4/9,13472,??软件
特狗APP,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/6a96e8cde6a2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13473,??软件
腾讯视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/c863f31f8fad,,,,,WX:hecbof     qq群:344182238,2026/4/9,13474,??软件
稀饭动漫,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/51e55179cd72,,,,,WX:hecbof     qq群:344182238,2026/4/9,13475,??软件
享趣视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/cb1034d9b7c3,,,,,WX:hecbof     qq群:344182238,2026/4/9,13476,??软件
小柿子,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/24a15ca8ce06,,,,,WX:hecbof     qq群:344182238,2026/4/9,13477,??软件
小柚子,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/96de029e8719,,,,,WX:hecbof     qq群:344182238,2026/4/9,13478,??软件
一起刷,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/756f9ac1bca4,,,,,WX:hecbof     qq群:344182238,2026/4/9,13479,??软件
云云视频,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/178e9c73a862,,,,,WX:hecbof     qq群:344182238,2026/4/9,13480,??软件
追番达人,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/9db7497d507c,,,,,WX:hecbof     qq群:344182238,2026/4/9,13481,??软件
追剧达人,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/31606da93084,,,,,WX:hecbof     qq群:344182238,2026/4/9,13482,??软件
追影匣,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/34d514b28313,,,,,WX:hecbof     qq群:344182238,2026/4/9,13483,??软件
资源猫,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/de76da4cc800,,,,,WX:hecbof     qq群:344182238,2026/4/9,13484,??软件
岸听音乐 Ver.2.7-beta 禁止广告初始化 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/4755eb22f7be,,,,,WX:hecbof     qq群:344182238,2026/4/9,13485,??软件
哔哩哔哩（国际版）内置模块助手 简洁流畅无广 Ver.3.19.2.zip,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/18f83e07d4fd,,,,,WX:hecbof     qq群:344182238,2026/4/9,13486,??软件
边缘视频 Ver.1.0.16 会员版 去更新 自动同意隐私政策 去除隐私权限 去除推广Tab.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/d150315b7ee7,,,,,WX:hecbof     qq群:344182238,2026/4/9,13487,??软件
打驴动漫 Ver.1.0.4.1 免广告领会员 去除广告 去除更新 去除公告 去除获取剪切板数据.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/7aa7828867e5,,,,,WX:hecbof     qq群:344182238,2026/4/9,13488,??软件
大鱼视频 Ver.20.23 纯净版.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/990359f2469b,,,,,WX:hecbof     qq群:344182238,2026/4/9,13489,??软件
儿歌点点 Ver.4.5.8 会员版 去广告.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/f88be5c1f813,,,,,WX:hecbof     qq群:344182238,2026/4/9,13490,??软件
花子动漫 Ver.1.0.1 去广告 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/8c571c1576d7,,,,,WX:hecbof     qq群:344182238,2026/4/9,13491,??软件
鲸看Pro Ver.2.3.2 禁止广告初始化 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/c619a4eefa67,,,,,WX:hecbof     qq群:344182238,2026/4/9,13492,??软件
剧多多 Ver.1.0.0 禁止广告初始化.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/af78cb31d587,,,,,WX:hecbof     qq群:344182238,2026/4/9,13493,??软件
酷狗概念版 Ver.2.5.5 最后一个支持听歌自动领取会员.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/82429c2258a0,,,,,WX:hecbof     qq群:344182238,2026/4/9,13494,??软件
梨园行戏曲HD Ver.1.0.2 会员版 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/7e79dc25e4a8,,,,,WX:hecbof     qq群:344182238,2026/4/9,13495,??软件
美剧侠 Ver.2.3.2 去广告 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/8b48b0d795d0,,,,,WX:hecbof     qq群:344182238,2026/4/9,13496,??软件
萌宝绘本故事 Ver.7.1.0.2 会员版 去更新 去除友盟.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/2c19dcce01ef,,,,,WX:hecbof     qq群:344182238,2026/4/9,13497,??软件
Audio-mack（音乐下载器）Ver.6.45.1 高级版 去广告.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/78e404c67bf0,,,,,WX:hecbof     qq群:344182238,2026/4/9,13498,??软件
DJ音乐盒 Ver.8.2.7.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/bf17ffe7e16c,,,,,WX:hecbof     qq群:344182238,2026/4/9,13499,??软件
DJ音乐盒车机 Ver.4.0.7.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/a7ccb2af3d4f,,,,,WX:hecbof     qq群:344182238,2026/4/9,13500,??软件
IPTV電視直播 Ver.5.1.6 禁止广告初始化 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/eaed88ac2c1c,,,,,WX:hecbof     qq群:344182238,2026/4/9,13501,??软件
MiFun Ver.5.1.7 本地会员版 去更新 去除公告.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/4a50d84001dd,,,,,WX:hecbof     qq群:344182238,2026/4/9,13502,??软件
【电视版】橘汁TV Ver.3.0.1.9 免登录会员版 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/df5002cfe387,,,,,WX:hecbof     qq群:344182238,2026/4/9,13503,??软件
【电视版】幕启星河TV Ver.1.0.0 免登录会员版.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/905fbf33b5f2,,,,,WX:hecbof     qq群:344182238,2026/4/9,13504,??软件
魔音MORIN Ver.3.7.0 禁止广告初始化 去更新 去除激活弹窗 去除搜索及版权限制.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/e8ebf407be61,,,,,WX:hecbof     qq群:344182238,2026/4/9,13505,??软件
尼卡音乐 Ver.1.1.0 去广告 去更新 去除强制跳转网页更新 其他布局调整.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/cee4701e6f1a,,,,,WX:hecbof     qq群:344182238,2026/4/9,13506,??软件
七猫短剧 Ver.1.7 禁止广告初始化 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/c05ae77b13f3,,,,,WX:hecbof     qq群:344182238,2026/4/9,13507,??软件
轻音社 Ver.1.9.0.0.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/e2b0132e135d,,,,,WX:hecbof     qq群:344182238,2026/4/9,13508,??软件
全乐听 Ver.1.2.9 全网音乐免费听.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/99f6b1f2ab7b,,,,,WX:hecbof     qq群:344182238,2026/4/9,13509,??软件
三号动漫 Ver.1.4.0 会员版 去更新 去除公告 去广告 去除友盟 自动意隐政策 其他布局调整.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/15ad9f19ea0b,,,,,WX:hecbof     qq群:344182238,2026/4/9,13510,??软件
蛇果视频（原西柚、剧星视频）Ver.7.3.2 会员版 去更新 去广告.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/bf5bc42a7c9a,,,,,WX:hecbof     qq群:344182238,2026/4/9,13511,??软件
手机电视高清直播 Ver.8.0.25 去广告 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/8b7825fa447e,,,,,WX:hecbof     qq群:344182238,2026/4/9,13512,??软件
嘶哩嘶哩 Ver.3.2.5 禁止广告初始化 去更新 去除公告 去除友盟 去除获取剪切板数据 其他布局调整.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/ad38eb163826,,,,,WX:hecbof     qq群:344182238,2026/4/9,13513,??软件
松子 Ver.1.0.1 禁止广告初始化 秒启动app 去除获取剪切板数据.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/f2aef2676e6d,,,,,WX:hecbof     qq群:344182238,2026/4/9,13514,??软件
泰剧兔 Ver.1.5.6.8 免广告领会员 去广告 去更新 去除公告 去除获取剪切板数据.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/a25157d27b66,,,,,WX:hecbof     qq群:344182238,2026/4/9,13515,??软件
泰圈 Ver.1.5.7.1 免广告领会员 去除广告 去除更新 去除公告 去除获取剪切板数据.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/228f69594a7c,,,,,WX:hecbof     qq群:344182238,2026/4/9,13516,??软件
豚豚剧 Ver.1.0.1.9 解锁本地会员 去更新 去公告.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/e025d9e7ea04,,,,,WX:hecbof     qq群:344182238,2026/4/9,13517,??软件
戏曲多多 Ver.3.1.3.0 会员版 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/b4e260bc2b45,,,,,WX:hecbof     qq群:344182238,2026/4/9,13518,??软件
戏曲多多 Ver.3.8.9.0 会员版 去更新.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/467004576c60,,,,,WX:hecbof     qq群:344182238,2026/4/9,13519,??软件
星芽免费短剧 Ver.3.1.0.1 会员版.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/33665a5f9a9c,,,,,WX:hecbof     qq群:344182238,2026/4/9,13520,??软件
星芽免费短剧 Ver.3.8.5 会员版 去广告 去更新 其他布局调整.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/bf4a4243d6f4,,,,,WX:hecbof     qq群:344182238,2026/4/9,13521,??软件
星芽免费短剧 Ver.会员版 去更新 去广告.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/366c88f1147d,,,,,WX:hecbof     qq群:344182238,2026/4/9,13522,??软件
央视影音 Ver.7.9.11 去广告版.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/5d4253614536,,,,,WX:hecbof     qq群:344182238,2026/4/9,13523,??软件
阳光彼岸 Ver.3.0.2 禁止广告初始化 去更新 去除公告 其他布局调整.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/91cf17e958cb,,,,,WX:hecbof     qq群:344182238,2026/4/9,13524,??软件
追剧吧 Ver.1.5.5.9 免广告领会员 去广告 去除公告 去除获取剪切板数据.zip,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/93cc96d30111,,,,,WX:hecbof     qq群:344182238,2026/4/9,13525,??软件
NyaFun Ver.1.0.1 禁止广告初始化 去更新 去公告 去除轮播图.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/7cc4edb90d3a,,,,,WX:hecbof     qq群:344182238,2026/4/9,13526,??软件
RiMusic（音乐软件）Ver.0.6.49.1.apk,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,,https://pan.quark.cn/s/428c032d2bbb,,,,,WX:hecbof     qq群:344182238,2026/4/9,13527,??软件
李跳跳真实好友,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.quark.cn/s/b1b3d871a24e,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13528,??软件
迅雷全平台破解版,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,"https://pan.baidu.com/s/1_kRoyI32zhTONa3CG6Gvqg?pwd=r3ph
",https://pan.quark.cn/s/0954bff78f15,,,,,WX:hecbof     qq群:344182238,2026/4/9,13529,??软件
网易云破解,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1UvXZLwqzYwARKTAXv-WE0g?pwd=l59u,https://pan.quark.cn/s/5e569593ba43,,,,,WX:hecbof     qq群:344182238,2026/4/9,13530,??软件
PanTools,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.quark.cn/s/9177c769e11d,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13531,??软件
橘子视频破解,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1sk4-_RxldfwviDfOn2JGjA?pwd=e3h1,https://pan.quark.cn/s/3a81d4f3b9be,,,,,WX:hecbof     qq群:344182238,2026/4/9,13532,??软件
番??系列全家桶,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.quark.cn/s/f74135fa6c97,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13533,??软件
腾讯视频破解,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1DoCAdNQ8AixJG25rqK0sug?pwd=44q9,https://pan.quark.cn/s/4335e55c6a7b,,,,,WX:hecbof     qq群:344182238,2026/4/9,13534,??软件
20210113-Office 2024预览直装版,Office 2024预览直装版,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1XE9zYPCM0l5V1r3ONyH-uw?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13966,软件小妹
20210114-小红书下载器,小红书下载,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1863KNeyZJXNkatGcCWfvww?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13967,软件小妹
20210115-音量控制,独立音量控制,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1Y2g7q7JbMun_StwTgT5Y6Q?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13968,软件小妹
20210117-金山PDF西工大定制版,PDF,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/13cJ8pmC5tLHgfQSBzJDc0Q?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13969,软件小妹
20210128-方格音乐,音乐,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1NDqNcCL9eDLhB39NI35aCw?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13970,软件小妹
20230613-沙拉词典和TTim翻译,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1IfhexZ1kT3jfDNn4dwIAkA?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13971,软件小妹
20231130-思维导图,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1NnYkinDzOHpJieyybfwiNg?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13972,软件小妹
20240112-三款下载器,PDF编辑,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1J0ulRaL4NhqZSSypiGOyiQ?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13973,软件小妹
20240115-Avast Cleanup安卓手机清理软件,手机清理,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1j4DVzuzNJUf7zZrdnbvwdA?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13974,软件小妹
20240116-zTasker定时任务软件,,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1beYT2PeisDAzfF9qc5zDIg?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13975,软件小妹
20240116-白马地图,地图,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/10A6PeI7MjmQsWhOxLRbPLA?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13976,软件小妹
20240116-视频压缩,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1w7VXLML-1daf8gk8aiV83A?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13977,软件小妹
20240117-加速球,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1IZY8I54CG2uw5uAYiyR6dg?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13978,软件小妹
20240118-蓝奏云盘第三方客户端,蓝奏云盘第三方客户端,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/15I7EFIgWCS2D0425b-A3pA?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13979,软件小妹
20240118-普听音乐,百度文库下载,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1R5juSQ6iAyh3BduyKOvYAw?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13980,软件小妹
20240119-搜索文本,内容搜索文件搜索,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1MyoxbS00U4kL8GcNGpo4ow?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13981,软件小妹
20240120-阿香婆电脑清理软件,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1VLjgR0PmMliII4OnHxm_Xw?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13982,软件小妹
20240120-桌面倒计时软件Mamsds,桌面倒计时软件Mamsds,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1DHtLg9oBnIa43mwCEGCXIw?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13983,软件小妹
20240121-ACDSee图片查看编辑软件,定时任务,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1qCmvuqC00OQWOhbuH1jGHg?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13984,软件小妹
20240121-PDF盖章,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1t2uGVeXuFwU_N7S724ouMg?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13985,软件小妹
20240123-益达,小说、电影、漫画、音乐,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1hxHvN5Y-Jz62uEAorwQE_g?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13986,软件小妹
20240124-Bypass分流自动抢票,抢票,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/171NvhsWEPqEAUUW52feM5A?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13987,软件小妹
20240124-家庭KTV,K歌软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1KZkuk1R8oMCqyAGNqmfBIg?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13988,软件小妹
20240125-抠图,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1MTT8JhH3pQgogqRg7p6mZg?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13989,软件小妹
20240126-QQ影音和PotPlayer,,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1mnMyKnr7GoyYxw6LpxvhQw?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13990,软件小妹
20240126-图片上色,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1l5Vv3_3WtBC9FqbnBHnWhA?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13991,软件小妹
20240127-Aria2手机端和电脑端,网盘音乐,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1UkXBCZTUwyBwiqlZy9Oeiw?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13992,软件小妹
20240127-gamebox,Steam游戏下载,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1s_Sr89zDLYH2RYFefAy5QA?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13993,软件小妹
20240128-HiBitUninstaller,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1ssjKaqHNC__6CfyvAiDDIA?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13994,软件小妹
20240128-三款APP,,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1gHDPSy4d8HZGed2evxcaOw?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13995,软件小妹
20240129-批量二维码生成器,二维码生成,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1mZIvIqoE_wK2Omcj99Mm7g?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13996,软件小妹
20240130-光影魔术手,图片查看,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1SkJfjE5q7VronOK7GRL6Ew?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13997,软件小妹
20240130-两款插件,软件,??：https://www.kdocs.cn/l/cmy3FUHCYgvW   ,https://pan.baidu.com/s/1SEHRsjrTFkdLs7VfY5qK9A?pwd=sili#,,,,,,WX:hecbof     qq群:344182238,2026/4/9,13998,软件小妹
